country_code,country_name,year,Central govt debt (% of GDP),Current account (% of GDP),Expense (% of GDP),Exports (% of GDP),External debt stocks (% of GNI),FDI net inflows (% of GDP),GDP (current USD),GDP growth (annual %),Imports (% of GDP),"Inflation (CPI, annual %)",Official exchange rate (LCU per USD),Real interest rate (%),Revenue excl grants (% of GDP),"Total reserves (includes gold, USD)",Unemployment (% of labor force),GDP_trillion_usd,trade_openness_pct,fiscal_balance_pct_gdp
JP,Japan,2023,,3.71672795030716,,21.8515912402593,,0.474278368651713,4213167237905.83,1.47503481053384,23.2992883238654,3.26813365933163,140.49110006234,,,1294636035263.82,2.6,4.2131672379058305,45.1508795641247,
JP,Japan,2024,,4.82314808005734,,22.7689998646748,,0.401239653950032,4027597523550.58,0.104309021773304,23.6379517504111,2.73853681635241,151.366291302752,,,1230666979042.45,2.5,4.02759752355058,46.4069516150859,
KR,"Korea, Rep.",2018,35.5200546743369,4.24648147146115,23.5674300593436,39.4523497931837,,0.66781363782051,1824251454306.83,3.17611568177327,35.2551664208987,1.47583935002645,1100.16333333333,3.07847583379285,25.9611385440622,403082233385.987,3.824,1.82425145430683,74.7075162140824,2.3937084847186014
KR,"Korea, Rep.",2019,37.6954834089265,3.40802631398853,25.9471764437754,37.0413266370488,,0.550202642546341,1751045752054.63,2.31380210595475,34.4057366033023,0.383000303608136,1165.3575,4.09560933285802,26.2939664579579,408819161841.749,3.746,1.7510457520546299,71.4470632403511,0.3467900141824991
KR,"Korea, Rep.",2020,43.7757991738024,4.35201499780346,28.0256629437299,34.6152001987888,,0.502554290313687,1744070276373.34,-0.700242317542106,30.9297576618322,0.537288023411737,1180.26583333333,1.19550220518032,26.3065329320637,443462937570.176,3.931,1.74407027637334,65.544957860621,-1.7191300116661985
KR,"Korea, Rep.",2021,45.8328934496037,4.38797327644752,28.5464738099917,39.3388192669479,,1.13577953855347,1942313560965.9,4.61296795454287,35.9674854941434,2.49833333333339,1143.95166666667,-0.287216232726005,28.0245804495307,463281305723.059,3.639,1.9423135609659,75.3063047610913,-0.5218933604610001
KR,"Korea, Rep.",2022,47.6110651969645,1.43543011179305,31.2975333759802,45.294860984133,,1.39186469730544,1799363116866.52,2.72756456708991,45.2902865437219,5.08951365062842,1291.44666666667,2.44052857732634,29.7729228770863,423365991593.016,2.857,1.79936311686652,90.5851475278549,-1.5246104988938995
KR,"Korea, Rep.",2023,48.5543799498432,1.77914588984233,28.3225119832631,41.3214807367697,,1.03221435142435,1844800934391.54,1.58301467403629,40.9365283348931,3.5974562502901,1305.6625,3.08772627466291,27.3522982787223,420930029064.025,2.675,1.8448009343915401,82.2580090716628,-0.9702137045408001
KR,"Korea, Rep.",2024,,5.28119455498379,,44.3582383593234,,0.811874572082119,1875388209406.8,2.00361101838986,40.2842567598803,2.32174328643542,1363.375,0.634469260614764,,418218648901.669,2.784,1.8753882094068,84.6424951192037,
MX,Mexico,2018,,-2.06414074457574,19.8697097098835,39.0439304419331,49.1902287834628,3.01417850463095,1256300182879.73,1.97208209405635,41.1687312149645,4.89935015356551,19.2443416666667,2.69522693587484,18.3342427397029,176390278595.584,3.275,1.25630018287973,80.21266165689761,-1.5354669701806003
MX,Mexico,2019,41.3273940507878,-0.296844402044544,19.8103353511537,38.5296507920009,48.7169187460769,2.29651449578107,1304106203902.45,-0.392690505066824,38.9323214651119,3.63596142127046,19.2636333333333,3.93998795588135,18.519167062902,183056094117.556,3.477,1.30410620390245,77.46197225711279,-1.2911682882517006
